Urtea,LineaKod,LineaIzena,BidaiaKop
2020,B2,Aiete-Bera Bera,3911.0
2020,B3,Egia-Intxaurrondo,8697.0
2020,B4,Amara-Riberas-Martutene,11151.0
2020,B6,Altza,10436.0
2020,B7,Igeldo,216.0
2020,B8,Miraconcha-Benta Berri-Seminar,5576.0
2020,B9,Amara-Errondo-Puio,3968.0
2020,TB6,Ulía,12662.0
2019,13,Altza,3588874.0
2019,14,Bidebieta,1237551.0
2019,16,Igeldo,520542.0
2019,17,Gros-Amara-Miramón,2049285.0
2019,18,Seminarioa,674565.0
2019,19,Aiete- Bera Bera,583962.0
2019,21,Mutualidades-Anoeta,541136.0
2019,23,Errondo-Puio,265547.0
2019,24,Altza-Gros-Antiguo,761187.0
2019,25,BentaBerri-Añorga,1104435.0
2019,26,Amara-Martutene,1650439.0
2019,27,Altza-Intxaurrondo-Antiguo,753006.0
2019,28,Amara-Ospitaleak,4080752.0
2019,29,Intxaurrondo Sur,940357.0
2019,31,Intxaurrondo-Ospitaleak-Altza,828998.0
2019,32,Puio-Errondo,255110.0
2019,33,Larratxo-Intxaur-Antiguo-Berio,1410788.0
2019,35,Arriola-Antiguo-Aiete-Ospitale,185782.0
2019,36,SanRoque-Aldakonea,429662.0
2019,37,Rodil-Zorroaga,305317.0
2019,38,Trintxerpe-Altza-Molinao,103734.0
2019,39,Urgull,8992.0
2019,40,Gros-Antiguo-Igara,505778.0
2019,41,Gros-Egia-Martutene,310571.0
2019,42,Aldapa - Egia,147329.0
2019,43,Anoeta-Igara,74296.0
2019,45,Estaciones Renfe-Bus Geltokiak- Antiguo-Aiete,520627.0
2019,46,Morlans,63801.0
2019,5,Benta Berri,3025768.0
2019,8,Gros-Intxaurrondo,744468.0
2019,9,Egia-Intxaurrondo,1125534.0
2019,B1,BentaBerri-Berio-Añorga,36421.0
2019,B10,Zubiaurre-Bidebieta-Buenavista,26012.0
2019,B2,Aiete-Bera Bera,13327.0
2019,B3,Egia-Intxaurrondo,30021.0
2019,B4,Amara-Riberas-Martutene,38109.0
2019,B6,Altza,34596.0
2019,B7,Igeldo,1350.0
2019,B8,Miraconcha-Benta Berri-Seminar,19154.0
2019,B9,Amara-Errondo-Puio,13932.0
2019,TB6,Ulía,19311.0
